Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates,,
MGE;Dobbins Afb;Marietta;United States;US;33.912222;-84.515278;67;5802418;6252001;33.912222,,
LUF;Luke Afb;Phoenix;United States;US;6.466667;-57.65;67;5745656;6252001;6.466667,,
PHP;Philip;Philip;United States;US;44.033333;-101.65;67;\N;6252001;44.033333,,
DNE;Dallas North Airport;Dallas;United States;US;7.716667;40.916667;67;5722064;6252001;7.716667,,
MCO;Orlando International;Orlando;United States;US;28.429444;-81.308889;67;4167147;6252001;28.429444,,
ALB;Albany International;Albany;United States;US;42.733333;-73.8;67;5710756;6252001;42.733333,,
BGQ;Big Lake;Big Lake;United States;US;61.533333;-149.816667;67;5880661;6252001;61.533333,,
CKB;Benedum;Clarksburg;United States;US;39.3;-80.233333;67;4802316;6252001;39.3,,
LSF;Lawson Aaf;Columbus;United States;US;32.337222;-84.991389;67;5645893;6252001;32.337222,,
MFI;Municipal;Marshfield;United States;US;44.6375;-90.188889;67;5261969;6252001;44.6375,,
CID;Cedar Rapids;Cedar Rapids;United States;US;41.884722;-91.710833;67;4850751;6252001;41.884722,,
MEV;Douglas County;Minden;United States;US;39.0;-119.75;67;5508379;6252001;39.0,,
CCA;Chaffee AFB;Fort Chaffee;United States;US;19.833333;-72.5;67;\N;6252001;19.833333,,
DEH;Municipal;Decorah;United States;US;43.316667;-91.833333;67;4853608;6252001;43.316667,,
NQI;NAS;Kingsville;United States;US;51.366667;-0.283333;67;4703384;6252001;51.366667,,
MIC;Crystal;Minneapolis;United States;US;45.061944;-93.353889;67;5037649;6252001;45.061944,,
KCK;Fairfax Municipal;Kansas City;United States;US;39.116667;-94.65;67;4393217;6252001;39.116667,,
PXL;Polacca;Polacca;United States;US;35.833333;-110.383333;67;\N;6252001;35.833333,,
BRY;Samuels Field;Bardstown,-85.466667,
ABL;Ambler;Ambler;United States;US;67.1;-157.816667;67;5178225;6252001;67.1,,
BKC;Buckland;Buckland;United States;US;65.983333;-161.166667;67;4931627;6252001;65.983333,,
MTX;Metro Field;Fairbanks;United States;US;64.8;-147.75;67;5861897;6252001;64.8,,
APV;Apple Valley;Apple Valley;United States;US;34.575278;-117.186111;67;5324363;6252001;34.575278,,
GST;Gustavus Arpt;Gustavus;United States;US;58.416667;-135.7;67;\N;6252001;58.416667,,
FMN;Municipal;Farmington;United States;US;36.75;-108.233333;67;5774662;6252001;36.75,,
PNS;Regional;Pensacola;United States;US;30.466667;-87.183333;67;4168228;6252001;30.466667,,
SVC;Grant County;Silver City;United States;US;32.633333;-108.166667;67;5491487;6252001;32.633333,,
HUT;Hutchinson;Hutchinson;United States;US;38.066667;-97.866667;67;5030977;6252001;38.066667,,
BUR;Bob Hope;Burbank;United States;US;34.2;-118.35;67;5788497;6252001;34.2,,
HNL;Honolulu International;Honolulu;United States;US;21.333333;-157.933333;67;5856195;6252001;21.333333,,
LBL;Municipal;Liberal;United States;US;37.05;-100.966667;67;5445820;6252001;37.05,,
BGR;Bangor International Airport;Bangor;United States;US;44.8;-68.816667;67;5244626;6252001;44.8,,
CWI;Clinton;Clinton;United States;US;41.833333;-90.35;67;5773001;6252001;41.833333,,
EGP;Maverick Co;Eagle Pass;United States;US;28.866667;-100.533333;67;5520677;6252001;28.866667,,
SQL;San Carlos;San Carlos;United States;US;37.483333;-122.25;67;5391760;6252001;37.483333,,
SXY;Sidney;Sidney;United States;US;42.316667;-75.4;67;5699552;6252001;42.316667,,
ZSH;Bus Station;Santa Fe;United States;US;1.366667;-77.033333;67;5490263;6252001;1.366667,,
ZBP;Baltimore Rail;Baltimore;United States;US;4.666667;-74.516667;67;4505716;6252001;4.666667,,
BOW;Bartow;Bartow;United States;US;27.933333;-81.783333;67;4146723;6252001;27.933333,,
JBP;Commerce Bus. Plaza;Los Angeles;United States;US;33.986667;-118.159722;67;5368361;6252001;33.986667,,
CRO;Corcoran;Corcoran;United States;US;36.1;-119.55;67;5339539;6252001;36.1,,
LAW;Municipal;Lawton;United States;US;34.566667;-98.416667;67;4998956;6252001;34.566667,,
ECA;Emmet County Airport;East Tawas;United States;US;44.266667;-83.483333;67;4991692;6252001;44.266667,,
PVD;T. F. Green Airport;Providence;United States;US;41.733333;-71.433333;67;5780020;6252001;41.733333,,
EDW;Edwards AFB;Edwards AFB;United States;US;34.9;-117.883333;67;\N;6252001;34.9,,
CMH;Port Columbus Intl;Columbus;United States;US;40.0;-82.883333;67;5645893;6252001;40.0,,
POY;Powell;Powell;United States;US;44.866667;-108.8;67;5835606;6252001;44.866667,,
OMK;Municipal;Omak;United States;US;48.4;-119.533333;67;5805734;6252001;48.4,,
KEB;Nanwalek;Nanwalek;United States;US;59.366667;-151.916667;67;\N;6252001;59.366667,,
TEK;Tatitlek;Tatitlek;United States;US;41.633333;24.95;67;\N;6252001;41.633333,,
GBD;Great Bend;Great Bend;United States;US;38.35;-98.866667;67;4272340;6252001;38.35,,
FYM;Municipal;Fayetteville;United States;US;35.15;-86.583333;67;5116968;6252001;35.15,,
KYK;Karluk;Karluk;United States;US;57.566667;-154.416667;67;\N;6252001;57.566667,,
KLW;Klawock;Klawock;United States;US;55.55;-133.1;67;\N;6252001;55.55,,
LTH;Lathrop Wells;Lathrop Wells;United States;US;36.666667;-116.65;67;\N;6252001;36.666667,,
DFW;Dallas/Fort Worth International;Dallas,-97.038056,
DMN;Deming;Deming;United States;US;26.951667;108.578889;67;5464806;6252001;26.951667,,
BIX;Keesler AFB;Biloxi;United States;US;28.666667;-88.433333;67;4418478;6252001;28.666667,,
TOR;Municipal;Torrington;United States;US;51.8;-1.6;67;5841207;6252001;51.8,,
RKH;Rock Hill;Rock Hill;United States;US;34.933333;-81.016667;67;5134115;6252001;34.933333,,
TNT;Dade Collier;Miami;United States;US;25.861944;-80.896944;67;5304640;6252001;25.861944,,
IKB;Wilkes County;Wilkesboro;United States;US;36.166667;-81.15;67;4499138;6252001;36.166667,,
FEP;Albertus;Freeport;United States;US;42.266667;-89.583333;67;5190486;6252001;42.266667,,
FLE;Fort Lee AAF;Petersburg;United States;US;52.3;5.833333;67;5556338;6252001;52.3,,
JBS;Hacienda Bus.Park H/P;Pleasanton;United States;US;37.699722;-121.9;67;5383777;6252001;37.699722,,
BBD;Curtis Field;Brady;United States;US;31.133333;-99.333333;67;4676032;6252001;31.133333,,
TBC;Tuba City;Tuba City;United States;US;13.466667;-14.2;67;5318279;6252001;13.466667,,
JMS;Jamestown;Jamestown;United States;US;46.933333;-98.683333;67;5360382;6252001;46.933333,,
MCF;Mac Dill AFB;Tampa;United States;US;54.433333;23.65;67;4174757;6252001;54.433333,,
PTB;Municipal;Petersburg;United States;US;37.183333;-77.516667;67;5556338;6252001;37.183333,,
EDK;El Dorado;El Dorado;United States;US;37.766667;-96.866667;67;4270863;6252001;37.766667,,
CSV;Memorial;Crossville;United States;US;35.95;-85.083333;67;4616470;6252001;35.95,,
GRE;Municipal;Greenville;United States;US;38.883333;-89.416667;67;5564488;6252001;38.883333,,
HOB;Lea County;Hobbs;United States;US;32.683333;-103.216667;67;5471578;6252001;32.683333,,
EYW;International;Key West;United States;US;24.55;-81.766667;67;4160812;6252001;24.55,,
MLT;Millinocket;Millinocket;United States;US;45.65;-68.7;67;4972220;6252001;45.65,,
EMT;El Monte;El Monte;United States;US;34.1;-118.033333;67;5345743;6252001;34.1,,
JIO;Intl Heliport;Ontario;United States;US;-11.283333;-74.433333;67;5744166;6252001;-11.283333,,
LPS;Lopez Island;Lopez Island;United States;US;48.483333;-122.936111;67;\N;6252001;48.483333,,
CEV;Mettle Field;Connersville;United States;US;39.633333;-85.133333;67;4256085;6252001;39.633333,,
OAK;Oakland International Airport;Oakland;United States;US;37.716667;-122.216667;67;5378538;6252001;37.716667,,
CZF;Cape Romanzof;Cape Romanzof;United States;US;61.733333;-166.0;67;\N;6252001;61.733333,,
CNK;Blosser Municipal;Concordia;United States;US;39.55;-97.65;67;5096867;6252001;39.55,,
HNC;Hatteras;Hatteras;United States;US;35.216667;-75.686111;67;\N;6252001;35.216667,,
SOL;Solomon;Solomon;United States;US;64.583333;-164.3;67;4279540;6252001;64.583333,,
AHT;Amchitka;Amchitka;United States;US;51.5;179.0;67;\N;6252001;51.5,,
AUS;Austin-bergstrom International;Austin;United States;US;30.194444;-97.67;67;5016884;6252001;30.194444,,
OXD;Miami University;Oxford;United States;US;45.733333;-63.866667;67;5130319;6252001;45.733333,,
RBY;Ruby;Ruby;United States;US;64.733333;-155.483333;67;\N;6252001;64.733333,,
WSF;Sarichef;Sarichef;United States;US;31.1;-1.383333;67;\N;6252001;31.1,,
HAX;Hatbox Field;Muskogee;United States;US;35.745833;-95.412778;1;4543338;6252001;35.745833,,
HTW;Lawrence County Airpark;Chesapeake/Huntington Wv;United States;US;42.2525;-82.494444;67;4801966;6252001;42.2525,,
GAI;Montgomery County;Gaithersburg;United States;US;39.168333;-77.166111;67;4355843;6252001;39.168333,,
SMF;Sacramento International;Sacramento,-121.616667,
SKY;Griffing Sandusky;Sandusky;United States;US;41.433333;-82.7;67;5170691;6252001;41.433333,,
HDA;Hidden Falls;Hidden Falls;United States;US;57.066667;-134.983333;67;\N;6252001;57.066667,,
GVT;Majors Field;Greenville;United States;US;33.133333;-96.116667;67;5564488;6252001;33.133333,,
GMV;Monument Valley;Monument Valley Gldngs;United States;US;-2.616667;152.016667;67;\N;6252001;-2.616667,,
PFC;Pacific City State;Pacific City,-123.962222,
NBP;Battery Pk City/N. Cov;New York;United States;US;5.5;-70.483333;67;5128581;6252001;5.5,,
EFW;Municipal;Jefferson;United States;US;42.016667;-94.383333;67;5733532;6252001;42.016667,,
ZTD;Schenectady Rail;Schenectady;United States;US;50.35;21.383333;67;5136454;6252001;50.35,,
LUK;Cincinnati Municipal-Lunken Field;Cincinnati,-84.418611,
CGF;Cuyahoga County;Cleveland;United States;US;41.5525;-81.483889;67;5248933;6252001;41.5525,,
SMD;Smith Field;Fort Wayne,-85.152778,
STS;Sonoma County;Santa Rosa;United States;US;38.516667;-122.8;67;5490338;6252001;38.516667,,
QWG;Wilgrove Air Park;Charlotte,-80.67,
LAS;Mc Carran Intl;Las Vegas;United States;US;36.083333;-115.166667;67;5506956;6252001;36.083333,,
LVM;Mission Field;Livingston;United States;US;45.666667;-110.566667;67;5663049;6252001;45.666667,,
RDU;Raleigh-durham International Airport;Raleigh/Durham,-78.7875,
FFT;Capital City;Frankfort,-84.906111,
KZH;Kizhuyak;Kizhuyak;United States;US;57.583333;-153.15;67;\N;6252001;57.583333,,
ISP;Long Island Mac Arthur;Islip,-73.100278,
ALM;Municipal;Alamogordo;United States;US;32.833333;-106.0;67;5454627;6252001;32.833333,,
TTN;Trenton Mercer Airport;Trenton,-74.813333,
BMT;Beaumont Muni;Beaumont;United States;US;18.5;-73.95;67;5327098;6252001;18.5,,
JAR;Jahrom;Jahrom;United States;US;34.133333;-118.016667;67;\N;6252001;34.133333,,
SBA;Municipal;Santa Barbara,-119.840278,
JHY;Hyatt Regency H/P;Cambridge;United States;US;42.366667;-71.102778;67;5247533;6252001;42.366667,,
WRG;Wrangell SPB;Wrangell;United States;US;56.466667;-132.383333;67;5558586;6252001;56.466667,,
AIY;Bader Field;Atlantic City;United States;US;39.366667;-74.45;67;4500546;6252001;39.366667,,
SEP;Clark Field;Stephenville;United States;US;32.216667;-98.183333;67;4734350;6252001;32.216667,,
MEO;Dare County Regional;Manteo;United States;US;35.911111;-75.7;67;4477893;6252001;35.911111,,
EKX;Elizabethtown;Elizabethtown;United States;US;37.7;-85.866667;67;5188474;6252001;37.7,,
HIF;Hill Afb;Ogden;United States;US;41.123889;-111.973056;67;5779206;6252001;41.123889,,
TWE;Taylor;Taylor;United States;US;56.15;-1.666667;67;5316960;6252001;56.15,,
NXX;Willow Grove NAS;Willow Grove;United States;US;-38.083333;146.2;67;5219619;6252001;-38.083333,,
DWN;Downtown Airpark;Oklahoma City;United States;US;35.449167;-97.533056;67;4544349;6252001;35.449167,,
FLX;Municipal;Fallon;United States;US;39.466667;-118.769444;67;5503914;6252001;39.466667,,
AUK;Alakanuk;Alakanuk;United States;US;62.683333;-164.633333;67;\N;6252001;62.683333,,
DRF;Drift River;Drift River;United States;US;60.583333;-152.15;67;\N;6252001;60.583333,,
ITO;Hilo International;Hilo;United States;US;19.716667;-155.05;67;5855927;6252001;19.716667,,
KCL;Lagoon;Chignik;United States;US;56.3;-158.533333;67;\N;6252001;56.3,,
TOI;Municipal;Troy;United States;US;54.912778;70.348056;67;5216183;6252001;54.912778,,
EDA;Edna Bay;Edna Bay;United States;US;55.95;-133.666667;67;\N;6252001;55.95,,
JDY;Heliport;Downey;United States;US;33.956389;-118.120556;67;5343858;6252001;33.956389,,
SKF;Kelly AFB;San Antonio;United States;US;6.233333;-76.733333;67;4726206;6252001;6.233333,,
OIC;Eaton;Norwich;United States;US;42.983333;-80.6;67;5129359;6252001;42.983333,,
DLF;Laughlin Afb;Del Rio;United States;US;29.516666999999998;-100.0;67;5520076;6252001;29.516666999999998,,
JMD;Market Centre H/P;Dallas;United States;US;7.716667;40.916667;67;5722064;6252001;7.716667,,
APF;Naples;Naples;United States;US;26.15;-81.766667;67;5778807;6252001;26.15,,
MQT;Sawyer International;Marquette;United States;US;46.533333;-87.566667;67;5000947;6252001;46.533333,,
WTL;Tuntutuliak;Tuntutuliak;United States;US;13.45;-15.8;67;\N;6252001;13.45,,
HNH;Hoonah;Hoonah;United States;US;58.1;-135.433333;67;\N;6252001;58.1,,
MKG;Muskegon;Muskegon;United States;US;43.166667;-86.233333;67;5003132;6252001;43.166667,,
WHP;Whiteman;Los Angeles;United States;US;34.259167;-118.413333;67;5368361;6252001;34.259167,,
DBQ;Municipal;Dubuque;United States;US;42.4;-90.716667;67;4854529;6252001;42.4,,
KNW;New Stuyahok;New Stuyahok;United States;US;59.533333;-157.333333;67;\N;6252001;59.533333,,
OME;Nome;Nome;United States;US;64.516667;-165.433333;67;5870133;6252001;64.516667,,
MIA;Miami International Airport;Miami;United States;US;25.783333;-80.266667;67;5304640;6252001;25.783333,,
RTE;Marguerite Bay;Marguerite Bay;United States;US;55.7;-131.633333;67;\N;6252001;55.7,,
RPX;Roundup;Roundup;United States;US;46.433333;-108.533333;67;5674878;6252001;46.433333,,
SIK;Memorial;Sikeston;United States;US;36.883333;-89.566667;67;4408672;6252001;36.883333,,
FXY;Municipal;Forest City;United States;US;43.266667;-93.65;67;5189963;6252001;43.266667,,
RIW;Riverton Regional;Riverton,-108.459722,
AEX;Alexandria International;Alexandria,-92.548611,
AAP;Andrau Airpark;Houston,-95.588333,
FRD;Friday Harbor;Friday Harbor;United States;US;48.521944;-123.024444;67;5795104;6252001;48.521944,,
GDH;Golden Horn Lodge SPB;Golden Horn Lodge,-158.874722,
EFK;Newport;Newport;United States;US;44.883333;-72.233333;67;5804694;6252001;44.883333,,
CTY;Cross City;Cross City;United States;US;29.65;-83.116667;67;4152395;6252001;29.65,,
AGC;Allegheny County;Pittsburgh;United States;US;40.35;-79.933333;67;5206379;6252001;40.35,,
BDL;Bradley International;Windsor Locks,-72.683333,
FKL;Chess-Lambertin;Franklin;United States;US;41.383333;-79.866667;67;5253710;6252001;41.383333,,
HUJ;Hugo;Hugo;United States;US;34.016667;-95.516667;67;5030884;6252001;34.016667,,
JEF;Memorial;Jefferson City,-92.039444,
MWH;Grant County;Moses Lake;United States;US;47.095;-119.261389;67;5803990;6252001;47.095,,
PAE;Snohomish County;Everett;United States;US;47.919444;-122.283611;67;5793933;6252001;47.919444,,
TSP;Kern County;Tehachapi,-118.439167,
LKK;Kulik Lake;Kulik Lake;United States;US;58.966667;-155.083333;67;\N;6252001;58.966667,,
HHI;Wheeler AFB;Wahiawa;United States;US;13.966667;-4.433333;67;5853992;6252001;13.966667,,
EKN;Elkins;Elkins;United States;US;38.883333;-79.85;67;4805033;6252001;38.883333,,
APC;Napa County;Napa;United States;US;38.45;-122.216667;67;5376095;6252001;38.45,,
BDF;Rinkenberger;Bradford;United States;US;41.183333;-89.65;67;5221030;6252001;41.183333,,
NKV;Nichen Cove;Nichen Cove,-133.227778,
OXR;Ventura;Ventura;United States;US;34.2;-119.2;67;5405878;6252001;34.2,,
OBE;County;Okeechobee;United States;US;27.25;-80.833333;67;4166822;6252001;27.25,,
IND;Indianapolis International;Indianapolis,-86.294722,
TRX;Memorial;Trenton;United States;US;44.1;-77.583333;67;5105496;6252001;44.1,,
KOZ;Ouzinkie SPB;Ouzinkie;United States;US;57.916667;-152.483333;67;\N;6252001;57.916667,,
SAG;Sagwon;Sagwon;United States;US;69.366667;-148.7;67;\N;6252001;69.366667,,
ZRV;Providence Rail;Providence;United States;US;4.616667;-54.4;67;5780020;6252001;4.616667,,
DTH;Death Valley;Death Valley;United States;US;36.452222;-116.869167;67;\N;6252001;36.452222,,
COI;Merritt Island;Cocoa;United States;US;28.133333;-80.633333;67;4151440;6252001;28.133333,,
OTO;Vor;Otto;United States;US;35.072222;-105.935556;67;\N;6252001;35.072222,,
BDG;Blanding;Blanding;United States;US;37.583333;-109.483333;67;5535484;6252001;37.583333,,
VNC;Venice Municipal;Venice,-82.440278,
LHV;W T Piper Memorial;Lock Haven;United States;US;41.133333;-77.45;67;5198635;6252001;41.133333,,
ISL;Isabel Pass;Isabel Pass;United States;US;63.5;-145.033333;67;\N;6252001;63.5,,
PNC;Ponca City;Ponca City;United States;US;36.733333;-97.1;67;4548267;6252001;36.733333,,
TBR;Statesboro-Bulloch County Airport;Statesboro,-81.736944,
NGU;Nas Chambers;Norfolk;United States;US;36.937778;-76.289444;67;5128862;6252001;36.937778,,
ESF;Esler Field;Alexandria;United States;US;31.4;-92.3;67;5082573;6252001;31.4,,
AFW;Fort Worth Alliance;Fort Worth,-97.318889,
COP;Cooperstown - Westville Airport;Cooperstown,-74.891111,
DHT;Dalhart;Dalhart;United States;US;12.186111;42.89;67;5519862;6252001;12.186111,,
GLH;Greenville;Greenville;United States;US;33.477222;-90.985;67;5564488;6252001;33.477222,,
NEW;Lakefront;New Orleans;United States;US;30.049444;-90.028889;67;4335045;6252001;30.049444,,
QWP;Van Service;Winter Park;United States;US;11.033333;3.65;67;4178560;6252001;11.033333,,
BCE;Bryce;Bryce;United States;US;37.7;-112.15;67;\N;6252001;37.7,,
YKN;Chan Gurney;Yankton;United States;US;42.916667;-97.383333;67;5233053;6252001;42.916667,,
EXI;SPB;Excursion Inlet;United States;US;58.416667;-135.433333;67;\N;6252001;58.416667,,
BYH;Blytheville AFB;Blytheville;United States;US;-13.25;130.7;67;4102412;6252001;-13.25,,
MHT;Manchester-boston Regional Airport;Manchester,-71.435556,
BLU;Blue Canyon;Blue Canyon;United States;US;51.181111;-3.401389;67;\N;6252001;51.181111,,
BGD;Borger;Borger;United States;US;35.65;-101.4;67;5517469;6252001;35.65,,
PDK;Dekalb-Peachtree;Atlanta,-84.301944,
WDG;Enid Woodring Mun.;Enid;United States;US;36.383333;-97.783333;67;4535961;6252001;36.383333,,
NVD;Nevada;Nevada;United States;US;37.85;-94.3;67;4868620;6252001;37.85,,
HRL;Valley International;Harlingen;United States;US;26.2;-97.75;67;4696233;6252001;26.2,,
WKL;Waikoloa Airport;Waikoloa;United States;US;19.916667;-155.866667;67;\N;6252001;19.916667,,
CAK;Akron/canton Regional;Akron/Canton,-81.442222,
LNI;Dew Station;Lonely;United States;US;70.916667;-153.25;67;\N;6252001;70.916667,,
SKW;Intermediate;Skwentna;United States;US;61.95;-151.2;67;\N;6252001;61.95,,
FFO;Patterson Afb;Dayton;United States;US;39.826111;-84.048333;67;6545140;6252001;39.826111,,
TKE;Tenakee SPB;Tenakee Springs;United States;US;43.286389;18.933056;67;\N;6252001;43.286389,,
BTL;WK Kellogg Regional;Battle Creek;United States;US;42.3;-85.25;67;5063564;6252001;42.3,,
BSF;Bradshaw AAF;Pohakuloa;United States;US;66.15;25.866667;67;\N;6252001;66.15,,
FOX;Fox;Fox;United States;US;64.85;-147.766667;67;\N;6252001;64.85,,
THP;Hot Springs;Thermopolis;United States;US;40.9;23.55;67;5840846;6252001;40.9,,
KYU;Koyukuk;Koyukuk;United States;US;64.9;-157.7;67;\N;6252001;64.9,,
NOL;Nakolik River;Nakolik River;United States;US;50.483333;21.45;67;\N;6252001;50.483333,,
ZSF;Springfield MA RR;Springfield;United States;US;44.633333;-64.85;67;5754005;6252001;44.633333,,
DCK;Dahl Creek Arpt;Dahl Creek;United States;US;66.933333;-156.9;67;\N;6252001;66.933333,,
OTN;Green;Oaktown;United States;US;38.866667;-87.433333;67;\N;6252001;38.866667,,
SEG;Penn Valley;Selinsgrove;United States;US;40.783333;-76.85;67;5211411;6252001;40.783333,,
DGW;Converse County;Douglas;United States;US;42.75;-105.4;67;5823516;6252001;42.75,,
KKA;Koyuk;Koyuk;United States;US;64.916667;-161.133333;67;\N;6252001;64.916667,,
LGD;La Grande;La Grande;United States;US;45.316667;-118.033333;67;5735537;6252001;45.316667,,
LEE;Leesburg;Leesburg;United States;US;28.833333;-81.816667;67;4769125;6252001;28.833333,,
OVE;Oroville;Oroville;United States;US;39.483333;-121.633333;67;5805838;6252001;39.483333,,
WWR;West Woodward;Woodward;United States;US;36.433333;-99.516667;67;4882453;6252001;36.433333,,
ADK;Adak Island Ns;Adak Island;United States;US;51.878056;-176.646111;67;\N;6252001;51.878056,,
EEN;Dillant-Hopkins;Keene;United States;US;42.9;-72.266667;67;5088262;6252001;42.9,,
AVO;Municipal;Avon Park;United States;US;27.6;-81.516667;67;4146440;6252001;27.6,,
FDK;Frederick Municipal;Frederick;United States;US;39.4175;-77.374444;67;5577217;6252001;39.4175,,
PKF;Park Falls;Park Falls;United States;US;45.933333;-90.433333;67;5266230;6252001;45.933333,,
PTC;Port Alice;Port Alice;United States;US;55.791667;-133.6;67;\N;6252001;55.791667,,
DVL;Devils Lake;Devils Lake;United States;US;48.116667;-98.9;67;5058868;6252001;48.116667,,
TRH;Trona;Trona;United States;US;35.8125;-117.327222;67;\N;6252001;35.8125,,
ZPH;Zephyrhills;Zephyrhills;United States;US;28.233333;-82.166667;67;4178941;6252001;28.233333,,
